Age,Gender,Education,Introversion Score,Sensing Score,Thinking Score,Judging Score,Interest,Personality
21.0,Female,1,5.89208,2.144394543565554,7.32363,5.462224378080117,Arts,ENTP
24.0,Female,1,2.48366,3.2061882098459846,8.06876,3.7650121889863,Unknown,INTP
26.0,Female,1,7.0291,6.469302076081513,4.16472,5.454441760919251,Others,ESFP
30.0,Male,0,5.46525,4.179243896067972,2.82487,5.080477122685776,Sports,ENFJ
31.0,Female,0,3.59804,6.1892586127938705,5.31347,3.6779842332390267,Others,ISFP
33.0,Female,0,1.06869,7.143506853170251,3.84411,6.347241398682885,Sports,ISFJ
32.0,Female,0,6.29802,6.2239025812460875,7.90633,6.705587885346524,Arts,ESTJ
27.0,Male,1,3.98957,4.406797471441495,5.09055,5.556499969939604,Technology,INFP
30.0,Male,0,1.55058,6.652427636852179,0.57707,6.919573121189958,Unknown,ISFJ
26.0,Female,1,7.02255,6.929233783476165,9.49484,6.052260676736929,Arts,ESTP
32.0,Male,0,3.98624,6.287162951107969,1.83208,5.4471406369705075,Arts,ISFP
32.0,Male,0,4.53003,4.627212287964852,0.61009,5.558510043063894,Arts,ENFP
27.0,Female,0,9.29553,6.6342978594613955,7.19146,5.219353563755631,Sports,ESTJ
28.0,Male,0,1.01677,5.156651651547801,8.26066,6.966520027084135,Arts,INTJ
31.0,Male,0,1.14596,6.498267641556529,2.98133,6.820404491369176,Others,ISFJ
28.0,Male,0,9.93171,6.81957266497821,8.98271,5.647164882432693,Arts,ESTP
32.0,Female,0,5.61706,6.190430532139028,0.773,7.59879469015122,Others,ESFJ
40.0,Female,0,8.07492,7.6442825740010285,1.7047,5.99300361450523,Arts,ESFP
26.0,Male,0,2.75736,6.353615656074193,9.83251,6.232064240739422,Others,ISTJ
21.0,Female,0,1.29799,6.463862513874992,8.29384,5.771908532831348,Sports,INTJ
26.0,Male,1,0.28853,6.357330656184333,0.38543,4.77751514310645,Unknown,ISFP
43.0,Male,1,2.66864,6.118689028665946,5.79244,2.984196235828508,Sports,ISFP
25.0,Male,1,4.55792,6.292396072669123,3.87543,5.711100932626894,Unknown,ISFP
25.0,Male,0,4.745,6.927306715928284,8.6907,6.182199254391591,Arts,ESTJ
24.0,Male,1,3.73142,2.3771482726171276,1.64649,5.515823522294752,Arts,INFP
30.0,Male,0,8.11472,6.183239678028415,3.71172,7.205182648355343,Arts,ESFJ
26.0,Male,0,8.34654,7.243558377051012,4.84332,6.558666453268006,Unknown,ESFJ
26.0,Male,0,2.15134,6.034398069336277,7.1155,5.272596344398302,Sports,INTJ
29.0,Female,0,1.64937,5.856951257587245,3.63261,5.183461626915298,Sports,INFJ
27.0,Female,0,9.99697,6.162209109055938,6.66667,6.249646289735218,Unknown,ESTJ
28.0,Female,1,3.65027,6.137394568933205,9.28303,2.472787691284631,Arts,ESTP
25.0,Female,1,8.92957,6.938028787477374,7.89794,6.087538083874797,Unknown,ESTP
28.0,Male,0,1.68275,6.868932818395085,2.33712,4.8972650098138,Sports,ISFP
26.0,Female,1,0.24833,7.049131298698521,9.75167,2.802447538206034,Unknown,ISTP
27.0,Male,0,2.65191,7.62743923666522,7.42669,3.1324485503536614,Arts,ISTP
24.0,Female,0,9.2027,5.165528172543299,2.82748,4.155086637555167,Unknown,ENFP
34.0,Female,1,6.39078,4.915008860108907,9.92188,4.578175128140185,Others,ENTP
24.0,Female,1,7.77627,5.879191741047793,5.64043,5.440611100572445,Arts,ENTP
30.0,Male,0,4.92346,7.420798401028656,4.83204,6.072067075540365,Unknown,ESFJ
29.0,Male,0,4.16954,3.533304628008615,7.38713,7.305510132689343,Others,INTJ
23.0,Male,0,9.05568,5.889722309341794,2.62496,7.138327089666012,Technology,ENFJ
26.0,Male,0,4.67871,8.040719552469847,9.88908,6.1421728344140725,Arts,ISTJ
34.0,Male,0,5.74512,1.1680242263751008,2.51979,6.550922397553081,Arts,ENFJ
27.0,Male,0,1.3476,6.1629598763446864,2.27648,7.15697193052752,Arts,ISFJ
28.0,Female,1,5.40763,6.447529642816941,5.87289,3.8879609956439403,Arts,ESTP
25.0,Male,0,9.93686,7.2014796856463335,8.79948,4.898499346672141,Others,ESTP
30.0,Male,0,6.11465,6.292360412708986,9.09612,7.203576807160658,Unknown,ESTJ
28.0,Female,0,0.47346,6.776792264013332,5.84681,5.322647079023538,Others,ISTP
26.0,Male,0,5.09375,4.3582756096256405,9.58736,6.011208541056846,Sports,ENTJ
26.0,Female,0,4.72305,6.315526905038633,5.62712,5.3416503824711405,Unknown,ESTP
